Brand,Name,Price,Styles,Review Count,Star Rating,Product Details,Product Details Alt,5 Stars,4 Stars,3 Stars,2 Stars,1 Stars
5.11 Outdoor,5.11 Tactical.56045 Adult's Wingman Patrol Bag,85.49,,143 customer reviews,4.6 out of 5 stars,NA,Product Dimensions:  19 x 13 x 4.5 inches ; 7 ounces; Shipping Weight:  4.4 pounds (View shipping rates and policies); Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; ASIN:  B002OP5TUA; Item model number:  56045-019; Average Customer Review: 143 customer reviews; Amazon Best Sellers Rank:  #18434 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#74 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #74 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels,5 star (75%),4 star (16%),3 star (5%),2 star (1%),1 star (3%)
NIKE,Nike Brasilla Training Duffel Bag Large,49.49,University Red/Black/White; BLACK/BLACK/WHITE; Flint Grey/Black/White; Game Royal/Black/White,6 customer reviews,4.8 out of 5 stars,NA,Product Dimensions:  29.9 x 14.2 x 14.2 inches ; 1.1 pounds; Shipping Weight:  1.6 pounds (View shipping rates and policies); ASIN:  B01GWKQMZI; Item model number:  BA5333-010; Average Customer Review: 6 customer reviews; Amazon Best Sellers Rank:  #8753 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#39 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #39 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels,5 star (83%),4 star (17%),N/A,N/A,N/A
,Eagle Creek Cargo Hauler Duffel 60L - Medium,79.95,Black/Grey; Blue/Grey; Cherry/Grey; Concord/Asphalt; Fern/Grey; Flame/Asphalt; Orange/Grey,50 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  13.5 x 26.5 x 10.2 inches; Shipping Weight:  2.1 pounds (View shipping rates and policies); ASIN:  B010AOMYXG; ; Item model number:  EC020584171; Date first available at Amazon.com:  February 8 2016; Amazon Best Sellers Rank:  #79091 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#138 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #138 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 50 customer reviews,5 star (74%),4 star (16%),3 star (6%),N/A,1 star (4%)
Code Alpha,Code Alpha Hybrid Garment Duffel Bag,57.59,Black; Air Force Digital Camouflage; Army Digital Camoufalge; Coyote Brown; Marpat Desert; Marpat Woodland; Multicam; Navy Blue,110 customer reviews,4.2 out of 5 stars,NA,Product Dimensions:  25.5 x 12 x 11.5 inches; Shipping Weight:  4.8 pounds (View shipping rates and policies); ASIN:  B00UIDXFMO; ; Item model number:  MRC9955-BK; Date first available at Amazon.com:  March 10 2015; Amazon Best Sellers Rank:  #46021 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#84 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #84 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 110 customer reviews,5 star (62%),4 star (23%),3 star (7%),2 star (6%),1 star (2%)
Vooray,Vooray Trepic 21" Weekender Duffel Bag with Shoe Pocket,44.95,Black/Heather Gray; Green Camo; Macana Black; Quilted Gray Nylon; Rose Gray; Rose Navy,113 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  21 x 10.5 x 12 inches; Shipping Weight:  1.75 pounds (View shipping rates and policies); ASIN:  B01LWJU7OF; ; Date first available at Amazon.com:  September 15 2016; Amazon Best Sellers Rank:  #22024 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#43 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #43 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 113 customer reviews,5 star (77%),4 star (13%),3 star (6%),2 star (3%),1 star (1%)
Oflamn,Oflamn 21" Travel Duffel Bag with Shoe Compartment Canvas Round Weekender Sport Gym Bag,29.99,Blue; Green; Pink,88 customer reviews,3.8 out of 5 stars,NA,Package Dimensions:  16 x 13 x 2 inches; Shipping Weight:  1.7 pounds (View shipping rates and policies); ASIN:  B0722HML98; ; Item model number:  OFSDB-P1701; Date first available at Amazon.com:  September 3 2016; Amazon Best Sellers Rank:  #8271 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#15 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #15 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 88 customer reviews,5 star (58%),4 star (11%),3 star (7%),2 star (14%),1 star (10%)
Sandpiper of California,Sandpiper of California Rolling Loadout Luggage X-Large Bag,140.11,Black; Brown; Green,209 customer reviews,4.1 out of 5 stars,NA,Product Dimensions:  17 x 37 x 16.5 inches ; 14 pounds; Shipping Weight:  15 pounds (View shipping rates and policies); Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; ASIN:  B0046CJCH0; Item model number:  2038-O-BLK; Average Customer Review: 209 customer reviews; Amazon Best Sellers Rank:  #26782 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#108 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #108 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels,5 star (55%),4 star (19%),3 star (7%),2 star (7%),1 star (12%)
,Eagle Creek No Matter What Duffel - Medium,72.07,Black; Cobalt; Firebrick; Olive; Red Clay; Slate Blue,81 customer reviews,4.3 out of 5 stars,NA,Product Dimensions:  24 x 11.8 x 11 inches; Shipping Weight:  2.05 pounds (View shipping rates and policies); ASIN:  B00AYW31WI; ; Item model number:  EC-20418125; Date first available at Amazon.com:  June 21 2013; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #97415 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#168 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #168 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 81 customer reviews,5 star (78%),4 star (12%),3 star (4%),2 star (1%),1 star (5%)
Cenzo,Cenzo Duffle Vecchio Brown Italian Leather Weekender Travel Bag,199.00,,313 customer reviews,4.6 out of 5 stars,NA,Product Dimensions:  21 x 10 x 11 inches; Shipping Weight:  3.8 pounds (View shipping rates and policies); ASIN:  B002HG47FY; ; Item model number:  8815; Date first available at Amazon.com:  October 2 2003; Amazon Best Sellers Rank:  #137026 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#237 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #237 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 313 customer reviews,5 star (81%),4 star (12%),3 star (5%),2 star (2%),1 star (0%)
High Sierra,High Sierra AT7 Carry-on Wheeled Duffel with Backpack straps,149.99 - 280.00,Black; Black/Charcoal/Black,219 customer reviews,4.2 out of 5 stars,NA,Product Dimensions:  9 x 22 x 14 inches ; 8.03 pounds; Shipping Weight:  9.6 pounds (View shipping rates and policies); ASIN:  B00EED8Q96; Average Customer Review: 219 customer reviews; Amazon Best Sellers Rank:  #95712 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#399 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #399 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels,5 star (58%),4 star (23%),3 star (8%),2 star (6%),1 star (5%)
DALIX,DALIX 25" Extra Large Vacation Travel Duffle Bag (Black Grey Navy Blue Red Camo),17.99,Black; Gray; Maroon; Navy Blue; Red,119 customer reviews,4.0 out of 5 stars,NA,Product Dimensions:  25 x 12.5 x 12.5 inches; Shipping Weight:  1.6 pounds (View shipping rates and policies); ASIN:  B011NM2NY4; ; Item model number:  DF-056-Red; Date first available at Amazon.com:  July 15 2015; Amazon Best Sellers Rank:  #26871 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#49 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #49 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 119 customer reviews,5 star (55%),4 star (20%),3 star (5%),2 star (12%),1 star (8%)
Sweetbriar,Sweetbriar Classic Duffle Bag - Weekender Duffel with Shoe Compartment,44.95,Black; Blue; Blue Denim; Bright Red; Ripstop Nylon Black; Woodland Camo,193 customer reviews,4.3 out of 5 stars,NA,Product Dimensions:  21 x 11 x 12 inches; Shipping Weight:  1.8 pounds (View shipping rates and policies); ASIN:  B01DQ1G288; ; Item model number:  DuffleBlackTan; Date first available at Amazon.com:  August 18 2015; Amazon Best Sellers Rank:  #174139 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#292 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #292 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 193 customer reviews,5 star (68%),4 star (16%),3 star (4%),2 star (6%),1 star (6%)
Wowbox,Wowbox Weekender Bag for MenLeather Canvas Large Men’s Overnight bagsCarry on Duffel Bag for Travel,45.99,,34 customer reviews,5.0 out of 5 stars,NA,Package Dimensions:  14.8 x 12.4 x 5.3 inches; Shipping Weight:  3.32 pounds (View shipping rates and policies); ASIN:  B075L5KWW6; ; Date first available at Amazon.com:  September 12 2017; Amazon Best Sellers Rank:  #34980 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#59 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #59 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 34 customer reviews,5 star (97%),4 star (3%),N/A,N/A,N/A
Rothco,Rothco Canvas Parachute Cargo Bag,20.99,ACU Digital; Black; Coyote; Earth Brown; Navy; Olive Drab; Woodland Camo,416 customer reviews,4.6 out of 5 stars,NA,Product Dimensions:  14.5 x 12.5 x 2 inches ; 2.45 pounds; Shipping Weight:  2.4 pounds (View shipping rates and policies); Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; ASIN:  B000HKMXTO; Item model number:  3123OD; Average Customer Review: 416 customer reviews; Amazon Best Sellers Rank:  #8531 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#38 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels#90 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage#498 in Clothing Shoes & Jewelry > Uniforms Work & Safety > Clothing; #38 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #90 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage; #498 in Clothing Shoes & Jewelry > Uniforms Work & Safety > Clothing,5 star (74%),4 star (18%),3 star (4%),2 star (1%),1 star (3%)
Timbuk2,Timbuk2 Wingman Travel Duffel Bag,129.00,Black; Black/Black; Carbon/Fire,97 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  15.7 x 7.9 x 20.9 inches ; 2.2 pounds; Shipping Weight:  3.4 pounds (View shipping rates and policies); Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item can be shipped to select countries outside of the U.S. Learn More; ASIN:  B00E1O34J0; Item model number:  528-4-2000; Average Customer Review: 97 customer reviews; Amazon Best Sellers Rank:  #23125 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#95 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels#257 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage#570 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Backpacks; #95 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #257 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage; #570 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Backpacks,5 star (66%),4 star (21%),3 star (7%),2 star (3%),1 star (3%)
BOSTANTEN,BOSTANTEN Genuine Leather Travel Weekender Overnight Duffel Bag Gym Sports Luggage Tote Duffle Bags For Men & Women,NA,Black-1; black-3; black-2,20 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  18.9 x 10.4 x 9.7 inches; Shipping Weight:  3 pounds (View shipping rates and policies); ASIN:  B06XGW9GJR; ; Date first available at Amazon.com:  March 8 2017; Amazon Best Sellers Rank:  #44516 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#80 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #80 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 20 customer reviews,5 star (70%),4 star (20%),3 star (5%),2 star (5%),N/A
Biaggi Luggage,Biaggi Luggage Hangeroo Two-In-One Garment Bag + Duffle,69.99,Black; Cobalt Blue; Grey,28 customer reviews,3.5 out of 5 stars,NA,Product Dimensions:  13 x 10 x 22 inches; Shipping Weight:  3 pounds (View shipping rates and policies); ASIN:  B01N5JZP3W; ; Item model number:  631114-GY; Date first available at Amazon.com:  December 28 2016; Amazon Best Sellers Rank:  #50983 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry); Average Customer Review: 28 customer reviews,5 star (39%),4 star (18%),3 star (14%),2 star (7%),1 star (22%)
ZUMIT,ZUMIT Travel Duffel Bag Square Black Business Weekend Tote Bag Gym Sports Holdall Bag Water-resistant Luggage Bag 45L 60L #806,42.99,,99 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  21.6 x 13.8 x 9.1 inches ; 2.95 pounds; Shipping Weight:  3.8 pounds (View shipping rates and policies); ASIN:  B01DOY5TZO; Item model number:  ZUMIT049; Average Customer Review: 99 customer reviews; Amazon Best Sellers Rank:  #13776 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#53 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #53 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels,5 star (75%),4 star (15%),3 star (4%),2 star (2%),1 star (4%)
OGIO,OGIO Layover Travel Bag,132.34,,114 customer reviews,4.5 out of 5 stars,NA,Package Dimensions:  23 x 8.8 x 0.2 inches; Shipping Weight:  10.5 pounds (View shipping rates and policies); ASIN:  B00371KWNO; ; Item model number:  OGLTB; Date first available at Amazon.com:  November 23 2008; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #56052 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#78 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Backpacks > Hiking Daypacks#16091 in Clothing Shoes & Jewelry > Men > Shops#28940 in Clothing Shoes & Jewelry > Women > Shops; #78 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Backpacks > Hiking Daypacks; #16091 in Clothing Shoes & Jewelry > Men > Shops; #28940 in Clothing Shoes & Jewelry > Women > Shops; Average Customer Review: 114 customer reviews,5 star (78%),4 star (12%),3 star (4%),2 star (3%),1 star (3%)
Polare,Polare Duffle Genuine Leather Weekender Travel Duffel luggage Carry On Bag,159.99,Black Large 23''; Brown Large 23''; Brown X-Large 25'',101 customer reviews,4.8 out of 5 stars,NA,Product Dimensions:  23.2 x 9 x 11.8 inches; Shipping Weight:  4.55 pounds (View shipping rates and policies); ASIN:  B00XU5MGJU; ; Item model number:  10464471; Date first available at Amazon.com:  November 29 2014; Amazon Best Sellers Rank:  #93928 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#160 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #160 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 101 customer reviews,5 star (91%),4 star (8%),N/A,2 star (1%),N/A
Polare,Polare Duffle Genuine Leather Weekender Travel Duffel luggage Carry On Bag,159.99,Black Large 23''; Brown Large 23''; Brown X-Large 25'',101 customer reviews,4.8 out of 5 stars,NA,Product Dimensions:  23.2 x 9 x 11.8 inches; Shipping Weight:  4.55 pounds (View shipping rates and policies); ASIN:  B00XU5MGJU; ; Item model number:  10464471; Date first available at Amazon.com:  November 29 2014; Amazon Best Sellers Rank:  #93928 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#160 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #160 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 101 customer reviews,5 star (91%),4 star (8%),N/A,2 star (1%),N/A
Rothco,Rothco Canvas Shoulder Bag,14.99 - 29.99,Black; Earth Brown; Navy Blue; Olive Drab; Red Star; Woodland Camo,529 customer reviews,4.4 out of 5 stars,NA,Shipping Weight:  2 pounds (View shipping rates and policies); ASIN:  B018MS4O30; Item model number:  613902222403; Average Customer Review: 529 customer reviews; Amazon Best Sellers Rank:  #13883 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#3 in Clothing Shoes & Jewelry > Women > Shops > Uniforms Work & Safety > Clothing > Military#15 in Clothing Shoes & Jewelry > Men > Shops > Uniforms Work & Safety > Clothing > Military > Accessories#68 in Clothing Shoes & Jewelry > Uniforms Work & Safety > Clothing > Military; #3 in Clothing Shoes & Jewelry > Women > Shops > Uniforms Work & Safety > Clothing > Military; #15 in Clothing Shoes & Jewelry > Men > Shops > Uniforms Work & Safety > Clothing > Military > Accessories; #68 in Clothing Shoes & Jewelry > Uniforms Work & Safety > Clothing > Military,5 star (68%),4 star (17%),3 star (8%),2 star (4%),1 star (3%)
Arxus,Arxus Multifunctional Fashion Travel Duffel Storage Bag Water Resistant Nylon,21.99,Black; Blue,44 customer reviews,4.2 out of 5 stars,NA,Package Dimensions:  16.1 x 11.6 x 1.6 inches; Shipping Weight:  1.65 pounds (View shipping rates and policies); ASIN:  B01N22JKKE; ; Item model number:  YT002-Black; Date first available at Amazon.com:  January 14 2017; Amazon Best Sellers Rank:  #47268 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#86 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #86 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 44 customer reviews,5 star (66%),4 star (14%),3 star (5%),2 star (11%),1 star (4%)
,World Traveler 21 Inch Rolling Duffel Bag,47.21,,419 customer reviews,4.2 out of 5 stars,NA,Product Dimensions:  21 x 11 x 12 inches; Shipping Weight:  4.25 pounds (View shipping rates and policies); ASIN:  B00VWKT2PG; ; Item model number:  8112022-633; Date first available at Amazon.com:  July 29 2014; Amazon Best Sellers Rank:  #38636 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#65 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #65 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 419 customer reviews,5 star (62%),4 star (19%),3 star (9%),2 star (3%),1 star (7%)
BLUBOON,BLUBOON Canvas Travel Duffel Bag Large Weekend Bag Overnight Tote Carry on Bag Genuine Leather Trim,44.99,Army Green; Big Size Coffee; Big Size Dark Grey; Big Size Grey,191 customer reviews,4.3 out of 5 stars,NA,Product Dimensions:  20.5 x 12.2 x 10 inches; Shipping Weight:  2.57 pounds (View shipping rates and policies); ASIN:  B01N5LW690; ; Item model number:  10450674; Date first available at Amazon.com:  January 4 2017; Amazon Best Sellers Rank:  #50017 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#88 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #88 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 191 customer reviews,5 star (64%),4 star (22%),3 star (7%),2 star (1%),1 star (6%)
,Herschel Supply Co. Strand Duffle Bag,64.99,Black; Eclipse Crosshatch,204 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  5.5 x 17 x 12 inches; Shipping Weight:  1.23 pounds (View shipping rates and policies); ASIN:  B0077CLW8I; ; Item model number:  10022-00001-OS; Date first available at Amazon.com:  August 8 2005; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #46287 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#85 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #85 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 204 customer reviews,5 star (77%),4 star (14%),3 star (4%),2 star (1%),1 star (4%)
,Samsonite Drop Bottom Wheeled Duffel 32,63.99,Black/Grey; Black/Red,152 customer reviews,3.3 out of 5 stars,NA,Product Dimensions:  32 x 17.5 x 14.5 inches; Shipping Weight:  10.45 pounds (View shipping rates and policies); ASIN:  B00EHKQ6CU; ; Item model number:  53588-1073; Date first available at Amazon.com:  August 12 2013; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #78661 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#137 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #137 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 152 customer reviews,5 star (38%),4 star (15%),3 star (8%),2 star (13%),1 star (26%)
,Luggage 19" Duffle Bag,29.99,,460 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  19 x 11 x 11.5 inches; Shipping Weight:  1.6 pounds (View shipping rates and policies); ASIN:  B00VWKZT08; ; Item model number:  81T19-642; Date first available at Amazon.com:  June 25 2012; Amazon Best Sellers Rank:  #39764 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#67 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #67 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 460 customer reviews,5 star (71%),4 star (15%),3 star (6%),2 star (3%),1 star (5%)
Runetz,Runetz - Gym Bag Sport Shoulder Bag for Men & Women Duffel 20-inch Large,35.99,Black; Chevron Gray; Chevron Teal; Navy; Pink; Purple; Teal,683 customer reviews,4.5 out of 5 stars,NA,Package Dimensions:  20.7 x 14.2 x 1.7 inches; Shipping Weight:  1.4 pounds (View shipping rates and policies); ASIN:  B00TG1N65K; ; Item model number:  G-Chev.Gray; Date first available at Amazon.com:  February 10 2015; Amazon Best Sellers Rank:  #40173 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#96 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Gym Bags > Sports Duffels; #96 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Gym Bags > Sports Duffels; Average Customer Review: 683 customer reviews,5 star (74%),4 star (15%),3 star (5%),2 star (3%),1 star (3%)
Komal's Passion Leather,Komal's Passion Leather 24 Inch Square Duffel Travel Gym Sports Overnight Weekend Leather Bag,84.99,,241 customer reviews,4.7 out of 5 stars,NA,Product Dimensions:  24 x 11 x 11 inches; Shipping Weight:  4.4 pounds (View shipping rates and policies); ASIN:  B00GT6U0AY; Average Customer Review: 241 customer reviews; Amazon Best Sellers Rank:  #31951 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#55 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Briefcases#131 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #55 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Briefcases; #131 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels,5 star (85%),4 star (9%),3 star (2%),2 star (2%),1 star (2%)
,eBags TLS Mother Lode Mini 21" Wheeled Duffel,199.99,Blue Yonder; Brushed Indigo; Eggplant; Emerald (Limited Edition); Heathered Graphite; Sinful Red; Solid Black; Tropical Turquoise,185 customer reviews,4.3 out of 5 stars,NA,Product Dimensions:  9 x 21.5 x 15 inches; Shipping Weight:  10.49 pounds (View shipping rates and policies); ASIN:  B004XZ5ZYO; ; Item model number:  EB2146-21W-BLK; Date first available at Amazon.com:  April 26 2011; Amazon Best Sellers Rank:  #57289 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#102 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #102 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 185 customer reviews,5 star (73%),4 star (13%),3 star (5%),2 star (4%),1 star (5%)
CHAUVET DJ,CHAUVET DJ CHS-50 VIP Large Rolling Travel Bag for DJ Lights,59.99,CHS-FR4; CHS-SP4; CHS-30; CHS-40; CHS-50; CHS-60; CHS-DUO; SlimPARbag,186 customer reviews,4.0 out of 5 stars,Item Weight: 18 pounds; Product Dimensions: 13 x 14 x 21 inches; Shipping Weight: 9 pounds (View shipping rates and policies); Domestic Shipping: Currently item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments please check with the manufacturer regarding warranty and support issues.; International Shipping: This item can be shipped to select countries outside of the U.S. Learn More; Shipping Advisory: This item must be shipped separately from other items in your order. Additional shipping charges will not apply.; ASIN: B004NNVPD6; Item model number: CHS50; Customer Reviews: 186 customer reviews4.0 out of 5 stars; Best Sellers Rank: #26623 in Musical Instruments (See Top 100 in Musical Instruments)#73 in Clothing Shoes & Jewelry > Novelty & More > Clothing > Band & Music Fan > Accessories#675 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Date first available at Amazon.com: February 9 2011,NA,5 star (58%),4 star (11%),3 star (12%),2 star (10%),1 star (9%)
Lewis N. Clark,Lewis N. Clark 900D Water-Resistant Outdoor Cargo Duffel Bag,19.80 - 61.63,Black; Green; Navy; Red,112 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  12 x 24 x 12 inches ; 2.2 pounds; Shipping Weight:  1 pounds (View shipping rates and policies); Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; ASIN:  B006H1KRJA; Item model number:  LNC-DB; Average Customer Review: 112 customer reviews; Amazon Best Sellers Rank:  #27733 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#113 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #113 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels,5 star (71%),4 star (17%),3 star (4%),2 star (4%),1 star (4%)
ImpecGear,ImpecGear Round Duffel Sports Bags Travel Gym Fitness Bag.,9.99,Black; Black - 2 Sides Zippered Pockets; Green; Green - 2 Side Zippered Pocket; Navy; Navy - 2 Side Zippered Pocket; Red; Red - 2 Side Zippered Pocket; Royal; Royal - 2 Side Zippered Pocket,16 customer reviews,4.0 out of 5 stars,NA,Product Dimensions:  18 x 10 x 10 inches; Shipping Weight:  2.4 ounces (View shipping rates and policies); ASIN:  B01JTQTQL4; ; Item model number:  ImpecGear; Date first available at Amazon.com:  August 5 2016; Amazon Best Sellers Rank:  #16348 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#56 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Gym Bags > Sports Duffels; #56 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Gym Bags > Sports Duffels; Average Customer Review: 16 customer reviews,5 star (50%),4 star (19%),3 star (19%),2 star (12%),N/A
