Brand,Name,Price,Styles,Review Count,Star Rating,Product Details,Product Details Alt,5 Stars,4 Stars,3 Stars,2 Stars,1 Stars
UltraClub,UltraClub® Large Square Duffel Bag - Black,15.93,,3 customer reviews,4.6 out of 5 stars,Item Weight: 1.3 pounds; Shipping Weight: 1.29 pounds (View shipping rates and policies); Department: unisex-adult (novelty and luggage only); ASIN: B00E67C05Q; Item model number: 60515300; Customer Reviews: 3 customer reviews4.6 out of 5 stars; Best Sellers Rank: #1943 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Date first available at Amazon.com: July 26 2013,NA,5 star (67%),4 star (33%),N/A,N/A,N/A
NGIL,Softball NGIL Canvas Carry on 20" Duffle Bag,29.35,,3 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  19 x 11 x 11.5 inches; Shipping Weight:  1.65 pounds (View shipping rates and policies); ASIN:  B00M4GFPGW; ; Item model number:  SOF420_001; Date first available at Amazon.com:  September 12 2013; Amazon Best Sellers Rank:  #1131929 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#1604 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #1604 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 3 customer reviews,5 star (67%),4 star (33%),N/A,N/A,N/A
Laisome,Travel Lightweight Waterproof Storage Carry Luggage Duffle Tote Bag,19.98,Blue; Grey,1 customer review,5.0 out of 5 stars,NA,Package Dimensions:  17.5 x 13.4 x 1.1 inches; Shipping Weight:  1.09 pounds (View shipping rates and policies); ASIN:  B075JC4HY8; ; Date first available at Amazon.com:  September 10 2017; Amazon Best Sellers Rank:  #1299481 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#1820 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #1820 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 1 customer review,5 star (100%),N/A,N/A,N/A,N/A
Fox Outdoor,Fox Outdoor Products Velocity Trekker Canvas Roll Bag,24.97 - 50.00,Olive Drab; Black,14 customer reviews,4.3 out of 5 stars,NA,Shipping Weight:  8 pounds (View shipping rates and policies); Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; ASIN:  B00S1F5DZI; Item model number:  41-86-P; Average Customer Review: 14 customer reviews; Amazon Best Sellers Rank:  #383988 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#212 in Sports & Outdoors > Sports & Fitness > Hunting & Fishing > Hunting > Gun Accessories Maintenance & Storage > Gun Holsters Cases & Bags > Bags & Packs > Hunting Bags#503 in Sports & Outdoors > Sports & Fitness > Hunting & Fishing > Hunting > Hunting Bags & Belts#8339 in Sports & Outdoors > Sports & Fitness > Hunting & Fishing > Hunting > Hunting Accessories; #212 in Sports & Outdoors > Sports & Fitness > Hunting & Fishing > Hunting > Gun Accessories Maintenance & Storage > Gun Holsters Cases & Bags > Bags & Packs > Hunting Bags; #503 in Sports & Outdoors > Sports & Fitness > Hunting & Fishing > Hunting > Hunting Bags & Belts; #8339 in Sports & Outdoors > Sports & Fitness > Hunting & Fishing > Hunting > Hunting Accessories,5 star (64%),4 star (22%),3 star (7%),2 star (7%),N/A
Sporty's,Flying Tigers Duffel Bag,39.99,,NA,NA,NA,Shipping Weight:  1.5 pounds (View shipping rates and policies); ASIN:  B0754QCDHM; ; Date first available at Amazon.com:  August 25 2017; Amazon Best Sellers Rank:  #1287761 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#1799 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #1799 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
Customized Girl,I Live For Gymnastics: Liberty Large Square Duffel Bag,33.97,Black; Hot Pink; Purple; Red; Royal,4 customer reviews,4.7 out of 5 stars,NA,Shipping Information:  View shipping rates and policies; ASIN:  B017BNE9TG; ; Item model number:  1396022NoSize-Black; Date first available at Amazon.com:  October 29 2015; Amazon Best Sellers Rank:  #1120838 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#1590 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #1590 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 4 customer reviews,5 star (75%),4 star (25%),N/A,N/A,N/A
Osprey,Osprey Transporter 65 Travel Duffel Bag,75.05,ANVIL GREY; TRUE BLUE,47 customer reviews,4.7 out of 5 stars,NA,Product Dimensions:  24 x 12 x 17 inches ; 1.2 pounds; Shipping Weight:  2 pounds (View shipping rates and policies); Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; ASIN:  B00IMXRYRY; Item model number:  137365-521; Average Customer Review: 47 customer reviews; Amazon Best Sellers Rank:  #237952 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#620 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Gym Bags > Sports Duffels; #620 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Gym Bags > Sports Duffels,5 star (83%),4 star (13%),3 star (4%),N/A,N/A
Outdoor Products,Outdoor Products Soft Trunk,24.99,,NA,NA,NA,Shipping Information:  View shipping rates and policies; ASIN:  B00CJIFYS4; Average Customer Review:  Be the first to review this item; Amazon Best Sellers Rank:  #194126 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#752 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #752 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels,N/A,N/A,N/A,N/A,N/A
,World Traveler World Traveler 21" Carry-on Shoulder Tote Duffel Bag - Hot Lips Duffel Bag,39.99,,NA,NA,NA,Product Dimensions:  21 x 11 x 12 inches; Shipping Weight:  1.97 pounds (View shipping rates and policies); ASIN:  B076YC2MRL; ; Item model number:  812014-503; Date first available at Amazon.com:  December 31 2017; Amazon Best Sellers Rank:  #1901560 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#2585 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #2585 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
Rothco,Rothco Canvas Assault Cargo Bag (Ft820) Black,33.99,,3 customer reviews,5.0 out of 5 stars,NA,Product Dimensions:  29 x 14 x 14 inches; Shipping Weight:  3.4 pounds (View shipping rates and policies); Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; ASIN:  B000E94SA0; Item model number:  613902813311; Average Customer Review: 3 customer reviews; Amazon Best Sellers Rank:  #464720 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#1738 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels#2866 in Clothing Shoes & Jewelry > Uniforms Work & Safety > Clothing > Military; #1738 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #2866 in Clothing Shoes & Jewelry > Uniforms Work & Safety > Clothing > Military,5 star (100%),N/A,N/A,N/A,N/A
