Brand,Name,Price,Styles,Review Count,Star Rating,Product Details,Product Details Alt,5 Stars,4 Stars,3 Stars,2 Stars,1 Stars,Url
,American Tourister Luggage Fieldbrook II 3 Piece Set,49.99,Black; Purple/Grey; Red/Black,1196 customer reviews,4.0 out of 5 stars,NA,Product Dimensions:  24.5 x 16 x 8 inches; Shipping Weight:  18 pounds (View shipping rates and policies); ASIN:  B00DVIF9JA; ; Item model number:  56445; Date first available at Amazon.com:  October 15 2013; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #1144 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#2 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Luggage Sets; #2 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Luggage Sets; Average Customer Review: 1196 customer reviews,5 star (55%),4 star (20%),3 star (8%),2 star (7%),1 star (10%),https://www.amazon.com/American-Tourister-Luggage-Fieldbrook-Purple/dp/B00DVIF9JA/ref=lp_15743251_1_11
,Travelpro Maxlite 4 25" Expandable Spinner,176.79,Black; Blue; Grey; Merlot; Mocha; Purple; Shadow Grey (Exclusive to Amazon); Slate Green,256 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  25 x 18 x 11 inches; Shipping Weight:  11 pounds (View shipping rates and policies); ASIN:  B016IO9JN0; ; Item model number:  401156501; Date first available at Amazon.com:  December 30 2015; Amazon Best Sellers Rank:  #3339 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#15 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage; #15 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage; Average Customer Review: 256 customer reviews,5 star (73%),4 star (14%),3 star (6%),2 star (3%),1 star (4%),https://www.amazon.com/Travelpro-Maxlite-Expandable-Spinner-Black/dp/B016IO9JN0/ref=lp_15743251_1_12
,Travelpro Crew 11 21" Expandable Spinner Carry-on Suiter Suitcase,156.39,Black; Indigo; Mahogany Brown; Patriot Blue,88 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  21 x 14 x 9 inches; Shipping Weight:  10.2 pounds (View shipping rates and policies); ASIN:  B01HD1ZYKE; ; Item model number:  407166101; Date first available at Amazon.com:  June 27 2016; Amazon Best Sellers Rank:  #3414 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#6 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Carry-Ons; #6 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Carry-Ons; Average Customer Review: 88 customer reviews,5 star (72%),4 star (9%),3 star (9%),2 star (8%),1 star (2%),https://www.amazon.com/Travelpro-Expandable-Spinner-Carry-Suitcase/dp/B01HD1ZYKE/ref=lp_15743251_1_13
,Travelpro Maxlite 4 Expandable 21 Inch Spinner Suitcase,154.69,Black; Blue; Blue w/Soft Tote; Grey; Merlot; Mocha; Purple; Slate Green,280 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  23 x 15 x 9.5 inches; Shipping Weight:  7.76 pounds (View shipping rates and policies); ASIN:  B016IO9JOO; ; Item model number:  401156101; Date first available at Amazon.com:  January 5 2016; Amazon Best Sellers Rank:  #7543 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#13 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; #13 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; Average Customer Review: 280 customer reviews,5 star (73%),4 star (12%),3 star (4%),2 star (6%),1 star (5%),https://www.amazon.com/Travelpro-Maxlite-Expandable-Spinner-Suitcase/dp/B016IO9JOO/ref=lp_15743251_1_14
,AmazonBasics Hardside Spinner Burnt Orange,49.99,20-inch; 24-inch; 28-inch; 3-piece set (20"/24"/28"),80 customer reviews,4.6 out of 5 stars,NA,Product Dimensions:  14 x 9.4 x 22 inches; Shipping Weight:  11.1 pounds (View shipping rates and policies); ASIN:  B071NJ24R9; ; California residents:  Click here for Proposition 65 warning; Item model number:  N989; Date first available at Amazon.com:  July 26 2017; Amazon Best Sellers Rank:  #1992 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry); Average Customer Review: 80 customer reviews,5 star (69%),4 star (24%),3 star (5%),2 star (2%),N/A,https://www.amazon.com/AmazonBasics-Hardside-Spinner-Luggage-20-inch/dp/B071NJ24R9/ref=lp_15743251_1_15
,AmazonBasics Hardside Spinner Luggage Blue,49.99,2-piece set (20"/28"); 20-inch; 24-inch; 28-inch; 3-piece set (20"/24"/28"),78 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  14 x 9.4 x 22 inches; Shipping Weight:  9.7 pounds (View shipping rates and policies); ASIN:  B0711DPSXT; ; California residents:  Click here for Proposition 65 warning; Item model number:  N989; Date first available at Amazon.com:  July 26 2017; Amazon Best Sellers Rank:  #2670 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry); Average Customer Review: 78 customer reviews,5 star (68%),4 star (21%),3 star (6%),N/A,1 star (5%),https://www.amazon.com/AmazonBasics-Hardside-Spinner-Luggage-Carry/dp/B0711DPSXT/ref=lp_15743251_1_16
,Travelpro Maxlite 4 International Carry-On Spinner Suitcase,88.39,Black; Blue; Grey; Merlot,201 customer reviews,4.6 out of 5 stars,NA,Product Dimensions:  21.2 x 8 x 14 inches; Shipping Weight:  7.65 pounds (View shipping rates and policies); ASIN:  B016IO9JFS; ; Item model number:  401156001; Date first available at Amazon.com:  January 5 2016; Amazon Best Sellers Rank:  #1808 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#3 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Carry-Ons; #3 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Carry-Ons; Average Customer Review: 201 customer reviews,5 star (78%),4 star (11%),3 star (5%),2 star (3%),1 star (3%),https://www.amazon.com/Travelpro-Maxlite-International-Spinner-Suitcase/dp/B016IO9JFS/ref=lp_15743251_1_17
,Herschel Supply Co. Novel Duffle Bag,65.00,Black Grid; Black/Black; Black/Blueprint/White; Black/Tan; Canteen Crosshatch; Eclipse Crosshatch; Grey/Tan; Navy/Tan; Ocean Depths Grid; Raven Crosshatch; Windsor Wine Grid/Black; Winetasting Crosshatch,751 customer reviews,4.2 out of 5 stars,NA,Product Dimensions:  11 x 20.5 x 11.5 inches; Shipping Weight:  2.15 pounds (View shipping rates and policies); Shipping Advisory:  This item must be shipped separately from other items in your order. Additional shipping charges will not apply.; ASIN:  B0077CLHGK; ; Item model number:  10026-00007-OS; Date first available at Amazon.com:  August 8 2005; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #1793 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#3 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #3 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 751 customer reviews,5 star (59%),4 star (15%),3 star (9%),2 star (7%),1 star (10%),https://www.amazon.com/Herschel-Supply-Co-Novel-Navy/dp/B0077CLHGK/ref=lp_15743251_1_18
,Samsonite Omni PC 28-Inch Spinner,119.99,Black; Bronze; Burnt Orange; Caribbean Blue; Radiant Pink; Red; Silver; Teal; navy; purple,286 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  14.5 x 20.5 x 28.5 inches; Shipping Weight:  12.55 pounds (View shipping rates and policies); ASIN:  B071HFNFYP; ; California residents:  Click here for Proposition 65 warning; Item model number:  68310-1776; Date first available at Amazon.com:  October 4 2017; Amazon Best Sellers Rank:  #5287 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry); Average Customer Review: 286 customer reviews,5 star (66%),4 star (18%),3 star (5%),2 star (7%),1 star (4%),https://www.amazon.com/Samsonite-Omni-Hardside-Spinner-Silver/dp/B071HFNFYP/ref=lp_15743251_1_19
Nature Breeze,Nature Breeze Women's Duck-02 Waterproof Boot,16.91 - 44.13,Black; Black 01; Taupe; Tan; Olive 01; Wheat; Tan 01; Brown; Brown 01; Taupe 01; Olive; Blue,886 customer reviews,3.6 out of 5 stars,NA,Package Dimensions:  4 x 3 x 2 inches; Shipping Weight:  8 pounds (View shipping rates and policies); ASIN:  B012C2UO2C; ; Item model number:  DUCK-02; Date first available at Amazon.com:  July 23 2015; Amazon Best Sellers Rank:  #2774 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#13 in Clothing Shoes & Jewelry > Women > Shoes > Boots > Mid-Calf#15 in Clothing Shoes & Jewelry > Women > Shoes > Boots > Ankle & Bootie#1447 in Clothing Shoes & Jewelry > Women > Shops; #13 in Clothing Shoes & Jewelry > Women > Shoes > Boots > Mid-Calf; #15 in Clothing Shoes & Jewelry > Women > Shoes > Boots > Ankle & Bootie; #1447 in Clothing Shoes & Jewelry > Women > Shops; Average Customer Review: 886 customer reviews,5 star (38%),4 star (24%),3 star (15%),2 star (12%),1 star (11%),https://www.amazon.com/Nature-Breeze-Stitching-Waterproof-Insulated/dp/B076H8RSB1/ref=lp_15743251_1_20
